
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. I2C, 27, 58, 7, 0, 0, 0, 0, 2, 14
.	. I2C_sb, 0, 0, 0, 0, 0, 0, 0, 1, 2
.	.	. I2C_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. I2C_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. I2C_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 2
.	. i2c_top, 27, 58, 7, 0, 0, 0, 0, 1, 0
.	.	. i2c_master, 27, 58, 7, 0, 0, 0, 0, 1, 0
